id	type	modified	language	rights	rightsHolder	bibliographicCitation	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	individualCount	sex	lifeStage	preparations	disposition	eventDate	year	month	day	verbatimEventDate	habitat	eventRemarks	locationID	continent	waterBody	country	countryCode	stateProvince	locality	verbatimElevation	minimumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	taxonRemarks
NMR996800035538	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes subhyalina (Bremer & Grey, 1853) (NMR 996800035538)"	NMR	Insecta	PreservedSpecimen	NMR996800035538	NMR996800035538		1			imago	in collection	7/11/10	2010	7	11					Asia		China	CN-51	Sichuan	Road Jiuzhaigou-Baihe		1635	33.327699	104.030348	WGS84			F.J.A. Slieker	"Ochlodes venatus  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		subhyalina			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800036240	Physical object	20-02-2015	en	ExColl:D.O. Visser	Natural History Museum Rotterdam	"Parnassius delphius (Eversmann, 1843) (NMR 996800036240)"	NMR	Insecta	PreservedSpecimen	NMR996800036240	NMR996800036240		1			imago	in collection	7/8/80	1980	7	8					Asia		China	CN-63	Qinghai	"Anyemaqen, Heka"		3400	0	0					"Ochlodes venatus  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		delphius			"(Eversmann, 1843)"		ICZN	accepted	
NMR996800037113	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Papilio xuthus Linnaeus, 1767 (NMR 996800037113)"	NMR	Insecta	PreservedSpecimen	NMR996800037113	NMR996800037113		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Ochlodes venatus  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		xuthus			"Linnaeus, 1767"	Asian Swallowtail	ICZN	accepted	
NMR996800037114	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Papilio polytes Linnaeus, 1758 (NMR 996800037114)"	NMR	Insecta	PreservedSpecimen	NMR996800037114	NMR996800037114		1			imago	in collection									Asia		China	CN					0	0					"Ochlodes venatus  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		polytes			"Linnaeus, 1758"	Common Mormon	ICZN	accepted	
NMR996800037164	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800037164)"	NMR	Insecta	PreservedSpecimen	NMR996800037164	NMR996800037164		1			imago	in collection	2002-06-00	2002	6	0					Asia		China	CN-36	Jiangxi	Wushan			26.800573	114.79045	WGS84			F.J.A. Slieker	"Ochlodes venatus  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800037165	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800037165)"	NMR	Insecta	PreservedSpecimen	NMR996800037165	NMR996800037165		1			imago	in collection	1993-07-00	1993	7	0					Asia		China	CN					0	0					"Ochlodes venatus  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800037166	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800037166)"	NMR	Insecta	PreservedSpecimen	NMR996800037166	NMR996800037166		1			imago	in collection	2002-01-00	2002	1	0					Asia		China	CN-36	Jiangxi	Wushan			26.800573	114.79045	WGS84			F.J.A. Slieker	"Ochlodes venatus  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800037167	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800037167)"	NMR	Insecta	PreservedSpecimen	NMR996800037167	NMR996800037167		1			imago	in collection	2002-06-00	2002	6	0					Asia		China	CN-36	Jiangxi	Wushan			26.800573	114.79045	WGS84			F.J.A. Slieker	"Ochlodes subhyalina  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800037168	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800037168)"	NMR	Insecta	PreservedSpecimen	NMR996800037168	NMR996800037168		1			imago	in collection	1982-07-00	1982	7	0					Asia		China	CN-51	Sichuan	Qingchengshan			30.883333	103.583333	WGS84			F.J.A. Slieker	"Ochlodes subhyalina  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800037169	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800037169)"	NMR	Insecta	PreservedSpecimen	NMR996800037169	NMR996800037169		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Ochlodes subhyalina  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800037170	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800037170)"	NMR	Insecta	PreservedSpecimen	NMR996800037170	NMR996800037170		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Ochlodes subhyalina  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800037174	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Papilio alcmenor Felder & Felder, 1864 (NMR 996800037174)"	NMR	Insecta	PreservedSpecimen	NMR996800037174	NMR996800037174		1			imago	in collection									Asia		China	CN				2100	0	0					"Ochlodes subhyalina  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		alcmenor			"Felder & Felder, 1864"	Redbreast	ICZN	accepted	
NMR996800037175	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium parus (De Nic̩ville, 1900) (NMR 996800037175)"	NMR	Insecta	PreservedSpecimen	NMR996800037175	NMR996800037175		1			imago	in collection	1993-00-00	1993	0	0					Asia		China	CN					0	0					"Ochlodes subhyalina  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		parus			"(De Nic̩ville, 1900)"		ICZN	accepted	
NMR996800038334	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Colias fieldii (Verity, 1909) (NMR 996800038334)"	NMR	Insecta	PreservedSpecimen	NMR996800038334	NMR996800038334		1			imago	in collection	1893-00-00	1893	0	0					Asia		China	CN-53	Yunnan	Ya Tcheou			0	0					"Ochlodes subhyalina  (Bremer & Grey, 1853)"		Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes		fieldii	chinensis		"(Verity, 1909)"		ICZN	accepted	
NMR996800038525	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Colias fieldii (Verity, 1909) (NMR 996800038525)"	NMR	Insecta	PreservedSpecimen	NMR996800038525	NMR996800038525		1			imago	in collection	6/25/06	2006	6	25					Asia		China	CN-53	Yunnan	10 km SW of Dali		2200	25.65	100.166667	WGS84			F.J.A. Slieker	"Neptis rivularis sinta Eliot, 1969"	Spireazwever	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Neptis		fieldii	chinensis		"(Verity, 1909)"		ICZN	accepted	
NMR996800038526	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Colias fieldii (Verity, 1909) (NMR 996800038526)"	NMR	Insecta	PreservedSpecimen	NMR996800038526	NMR996800038526		1			imago	in collection	6/4/09	2009	6	4					Asia		China	CN-51	Sichuan	"Dujiangyan, near Dujiangyan Hexiang Hotel (Flying Crane Hotel)"		700	30.897056	103.582446	WGS84			F.J.A. Slieker	"Neptis rivularis sinta Eliot, 1969"	Spireazwever	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Neptis		fieldii	chinensis		"(Verity, 1909)"		ICZN	accepted	
NMR996800038527	Physical object	20-02-2015	en	ExColl:D.O. Visser	Natural History Museum Rotterdam	"Mesapia peloria Bang-Haas, 1934 (NMR 996800038527)"	NMR	Insecta	PreservedSpecimen	NMR996800038527	NMR996800038527		1			imago	in collection	7/7/89	1989	7	7					Asia		China	CN-62	Gansu	Xiahe		3000	35.19	102.520833	WGS84			F.J.A. Slieker	"Neptis rivularis sinta Eliot, 1969"	Spireazwever	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Neptis		peloria	grayi		"Bang-Haas, 1934"		ICZN	accepted	
NMR996800040732	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040732)"	NMR	Insecta	PreservedSpecimen	NMR996800040732	NMR996800040732		1			imago	in collection	6/18/09	2009	6	18					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Neptis rivularis sinta Eliot, 1969"	Spireazwever	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Neptis		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040733	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040733)"	NMR	Insecta	PreservedSpecimen	NMR996800040733	NMR996800040733		1			imago	in collection	6/18/09	2009	6	18					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Neptis rivularis sinta Eliot, 1969"	Spireazwever	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Neptis		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040734	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040734)"	NMR	Insecta	PreservedSpecimen	NMR996800040734	NMR996800040734		1			imago	in collection	6/18/09	2009	6	18					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Mimathyma schrenckii  (M̩n̩tri̩s, 1859)"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Mimathyma		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040735	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040735)"	NMR	Insecta	PreservedSpecimen	NMR996800040735	NMR996800040735		1			imago	in collection	6/18/09	2009	6	18					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Mesapia peloria grayi Bang-Haas, 1934"		Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Mesapia		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040736	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040736)"	NMR	Insecta	PreservedSpecimen	NMR996800040736	NMR996800040736		1			imago	in collection	6/19/09	2009	6	19					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Melitaea arcesia  Bremer, 1864"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melitaea		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040737	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040737)"	NMR	Insecta	PreservedSpecimen	NMR996800040737	NMR996800040737		1			imago	in collection	6/19/09	2009	6	19					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Melitaea arcesia  Bremer, 1864"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melitaea		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040738	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040738)"	NMR	Insecta	PreservedSpecimen	NMR996800040738	NMR996800040738		1			imago	in collection	6/19/09	2009	6	19					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Melitaea solona  Alph̩raky, 1881"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melitaea		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040739	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040739)"	NMR	Insecta	PreservedSpecimen	NMR996800040739	NMR996800040739		1			imago	in collection	7/10/10	2010	7	10					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800040743	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Satyrium iyonis (Inomata, 1989) (NMR 996800040743)"	NMR	Insecta	PreservedSpecimen	NMR996800040743	NMR996800040743		1			imago	in collection	6/20/09	2009	6	20					Asia		China	CN-51	Sichuan	Road Jiuzhaigou-Baihe		1635	33.327699	104.030348	WGS84			F.J.A. Slieker	"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		iyonis	koiwayai		"(Inomata, 1989)"		ICZN	accepted	
NMR996800042864	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Araragi sugiyamai Matsui, 1989 (NMR 996800042864)"	NMR	Insecta	PreservedSpecimen	NMR996800042864	NMR996800042864		1			imago	in collection	6/5/09	2009	6	5					Asia		China	CN-51	Sichuan	"Qingchengshan, path Shangging-Yuqing temple"		800	0	0					"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		sugiyamai			"Matsui, 1989"		ICZN	accepted	
NMR996800042865	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Araragi sugiyamai Matsui, 1989 (NMR 996800042865)"	NMR	Insecta	PreservedSpecimen	NMR996800042865	NMR996800042865		1			imago	in collection	6/14/09	2009	6	14					Asia		China	CN-51	Sichuan	Qingcheng Housan		950	31.1725	103.698333	WGS84			F.J.A. Slieker	"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		sugiyamai			"Matsui, 1989"		ICZN	accepted	
NMR996800042866	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Araragi sugiyamai Matsui, 1989 (NMR 996800042866)"	NMR	Insecta	PreservedSpecimen	NMR996800042866	NMR996800042866		1			imago	in collection	6/14/09	2009	6	14					Asia		China	CN-51	Sichuan	Qingcheng Housan		950	31.1725	103.698333	WGS84			F.J.A. Slieker	"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		sugiyamai			"Matsui, 1989"		ICZN	accepted	
NMR996800042867	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Araragi sugiyamai Matsui, 1989 (NMR 996800042867)"	NMR	Insecta	PreservedSpecimen	NMR996800042867	NMR996800042867		1			imago	in collection	6/14/09	2009	6	14					Asia		China	CN-51	Sichuan	Qingcheng Housan		950	31.1725	103.698333	WGS84			F.J.A. Slieker	"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		sugiyamai			"Matsui, 1989"		ICZN	accepted	
NMR996800042868	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Araragi sugiyamai Matsui, 1989 (NMR 996800042868)"	NMR	Insecta	PreservedSpecimen	NMR996800042868	NMR996800042868		1			imago	in collection	6/8/09	2009	6	8					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		sugiyamai			"Matsui, 1989"		ICZN	accepted	
NMR996800042869	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042869)"	NMR	Insecta	PreservedSpecimen	NMR996800042869	NMR996800042869		1			imago	in collection	6/14/09	2009	6	14					Asia		China	CN-51	Sichuan	Qingcheng Housan		950	31.1725	103.698333	WGS84			F.J.A. Slieker	"Melanargia asiatica wagneri Bozano, 2002"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042870	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042870)"	NMR	Insecta	PreservedSpecimen	NMR996800042870	NMR996800042870		1			imago	in collection	6/9/09	2009	6	9					Asia		China	CN-51	Sichuan	Qingcheng Housan		950	31.1725	103.698333	WGS84			F.J.A. Slieker	"Meandrusa sciron  (Leech, 1890)"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Meandrusa		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042871	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042871)"	NMR	Insecta	PreservedSpecimen	NMR996800042871	NMR996800042871		1			imago	in collection	6/14/09	2009	6	14					Asia		China	CN-51	Sichuan	Qingcheng Housan		950	31.1725	103.698333	WGS84			F.J.A. Slieker	"Meandrusa sciron  (Leech, 1890)"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Meandrusa		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042872	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042872)"	NMR	Insecta	PreservedSpecimen	NMR996800042872	NMR996800042872		1			imago	in collection	6/8/09	2009	6	8					Asia		China	CN-51	Sichuan	Qingcheng Housan		950	31.1725	103.698333	WGS84			F.J.A. Slieker	"Meandrusa sciron  (Leech, 1890)"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Meandrusa		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042873	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042873)"	NMR	Insecta	PreservedSpecimen	NMR996800042873	NMR996800042873		1			imago	in collection	6/14/09	2009	6	14					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Macroglossum nycteris  Kollar, 1844"		Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossum		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042874	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042874)"	NMR	Insecta	PreservedSpecimen	NMR996800042874	NMR996800042874		1			imago	in collection	6/12/09	2009	6	12					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Hemaris beresowskii  Alph̩raky, 1897"		Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Hemaris		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042875	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042875)"	NMR	Insecta	PreservedSpecimen	NMR996800042875	NMR996800042875		1			imago	in collection	6/12/09	2009	6	12					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042876	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042876)"	NMR	Insecta	PreservedSpecimen	NMR996800042876	NMR996800042876		1			imago	in collection	6/8/09	2009	6	8					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042877	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042877)"	NMR	Insecta	PreservedSpecimen	NMR996800042877	NMR996800042877		1			imago	in collection	6/10/09	2009	6	10					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042878	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042878)"	NMR	Insecta	PreservedSpecimen	NMR996800042878	NMR996800042878		1			imago	in collection	6/6/09	2009	6	6					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042879	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042879)"	NMR	Insecta	PreservedSpecimen	NMR996800042879	NMR996800042879		1			imago	in collection	6/5/09	2009	6	5					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042880	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042880)"	NMR	Insecta	PreservedSpecimen	NMR996800042880	NMR996800042880		1			imago	in collection	6/5/09	2009	6	5					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042881	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042881)"	NMR	Insecta	PreservedSpecimen	NMR996800042881	NMR996800042881		1			imago	in collection	6/5/09	2009	6	5					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042882	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Heliophorus saphir (Blanchard, 1871) (NMR 996800042882)"	NMR	Insecta	PreservedSpecimen	NMR996800042882	NMR996800042882		1			imago	in collection	6/5/09	2009	6	5					Asia		China	CN-51	Sichuan	Mount Qingcheng		800	30.8667	103.4167	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		saphir			"(Blanchard, 1871)"		ICZN	accepted	
NMR996800042883	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Pseudozizeeria maha (Kollar, 1848) (NMR 996800042883)"	NMR	Insecta	PreservedSpecimen	NMR996800042883	NMR996800042883		1			imago	in collection	6/13/09	2009	6	13					Asia		China	CN-51	Sichuan	"Dujiangyan, near Dujiangyan Hexiang Hotel (Flying Crane Hotel)"		700	30.897056	103.582446	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		maha			"(Kollar, 1848)"		ICZN	accepted	
NMR996800042884	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Pseudozizeeria maha (Kollar, 1848) (NMR 996800042884)"	NMR	Insecta	PreservedSpecimen	NMR996800042884	NMR996800042884		1			imago	in collection	6/13/09	2009	6	13					Asia		China	CN-51	Sichuan	"Dujiangyan, near Dujiangyan Hexiang Hotel (Flying Crane Hotel)"		700	30.897056	103.582446	WGS84			F.J.A. Slieker	"Heliophorus saphir  (Blanchard, 1871)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Heliophorus		maha			"(Kollar, 1848)"		ICZN	accepted	
