id	type	modified	language	rights	rightsHolder	bibliographicCitation	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	individualCount	sex	lifeStage	preparations	disposition	eventDate	year	month	day	verbatimEventDate	habitat	eventRemarks	locationID	continent	waterBody	country	countryCode	stateProvince	locality	verbatimElevation	minimumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	taxonRemarks
NMR996800022522	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Meandrusa sciron (Leech, 1890) (NMR 996800022522)"	NMR	Insecta	PreservedSpecimen	NMR996800022522	NMR996800022522		1			imago	in collection	2002-07-00	2002	7	0					Asia		China	CN-51	Sichuan				0	0					"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		sciron			"(Leech, 1890)"		ICZN	accepted	
NMR996800022523	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022523)"	NMR	Insecta	PreservedSpecimen	NMR996800022523	NMR996800022523		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pseudozizeeria maha  (Kollar, 1848)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Pseudozizeeria		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022524	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022524)"	NMR	Insecta	PreservedSpecimen	NMR996800022524	NMR996800022524		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pseudozizeeria maha  (Kollar, 1848)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Pseudozizeeria		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022525	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022525)"	NMR	Insecta	PreservedSpecimen	NMR996800022525	NMR996800022525		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pseudozizeeria maha  (Kollar, 1848)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Pseudozizeeria		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022526	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022526)"	NMR	Insecta	PreservedSpecimen	NMR996800022526	NMR996800022526		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pseudozizeeria maha  (Kollar, 1848)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Pseudozizeeria		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022527	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022527)"	NMR	Insecta	PreservedSpecimen	NMR996800022527	NMR996800022527		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pseudozizeeria maha  (Kollar, 1848)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Pseudozizeeria		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022528	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022528)"	NMR	Insecta	PreservedSpecimen	NMR996800022528	NMR996800022528		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pseudozizeeria maha  (Kollar, 1848)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Pseudozizeeria		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022529	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022529)"	NMR	Insecta	PreservedSpecimen	NMR996800022529	NMR996800022529		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pseudergolis wedah  (Kollar, 1848)"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Pseudergolis		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022530	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022530)"	NMR	Insecta	PreservedSpecimen	NMR996800022530	NMR996800022530		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Prioptera bisignata  Boheman, 1862"		Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Prioptera		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022531	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022531)"	NMR	Insecta	PreservedSpecimen	NMR996800022531	NMR996800022531		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Pieris canidia  Sparrman, 1768"		Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris		eurous			"(Leech, 1893)"		ICZN	accepted	
